,"silent_fraction","nonsense_fraction","splice_site_fraction","missense_fraction","recurrent_missense_fraction","frameshift_indel_fraction","inframe_indel_fraction","lost_start_stop_fraction","missense_to_silent","nonsilent_to_silent","norm_missense_poisition_entropy","norm_mutation_entropy","label"
26,0,0.5,0.25,0,0,0,0,0.25,0,0,2,1.5,0
27,0.33333334,0,0,0,0,0,0,0,0,0.5,0,0.24604683,0
28,0,0.625,0,0,0,0.125,0.125,0,0,0,2,1.4268796,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
31,0.16666667,0.16666667,0,0,0,0.16666667,0,0,1,0.2,0,0.15086292,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0
33,0.33333334,0.16666667,0.16666667,0,0,0,0,0,2,0.5,0,0.7043824,0
34,0.1,0.5,0,0.1,0,0,0.1,0,0.2,0.11111111,2,1.2568636,0
35,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0
36,0,1,0,0,0,0,0,0,0,0,2,2,0
37,0.07692308,0.46153846,0.07692308,0,0,0.07692308,0,0.30769232,0.16666667,0.083333336,1.7420981,1.0601292,0
38,0,0.71428573,0,0,0,0.2857143,0,0,0,0,1.8277293,1.5107387,0
39,0,0.6666667,0,0,0,0,0,0.33333334,0,0,2,1.6666666,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.18181819,0.54545456,0.09090909,0,0,0.09090909,0,0,0.33333334,0.22222222,2,1.4928973,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0
43,0,0.33333334,0,0,0,0,0,0.6666667,0,0,0,0.24604683,0
44,0.14285715,0.42857143,0.2857143,0,0,0,0,0,0.33333334,0.16666667,1.5793802,1.0821673,0
45,0.6,0.4,0,0,0,0,0,0,1.5,1.5,1,1.2277293,0
46,0.25,0.5,0,0.25,0,0,0,0,0.5,0.33333334,2,1.25,0
47,0,0.5,0,0,0,0,0,0.5,0,0,2,1.25,0
48,0.27272728,0.09090909,0,0,0,0,0,0.45454547,3,0.375,0,0.392677,0
49,0.16666667,0.6666667,0,0,0,0,0,0,0.25,0.2,1.75,1.371049,0
50,0,1,0,0,0,0,0,0,0,0,0,0,0
51,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
52,0,0.71428573,0,0,0,0,0,0.2857143,0,0,1.6554588,1.4089652,0
53,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
54,0,0,1,0,0,0,0,0,0,0,0,0,0
55,0,0.5,0.25,0,0,0,0,0.25,0,0,2,1.5,0
56,0.21428572,0.42857143,0.071428575,0,0,0.071428575,0,0,0.5,0.27272728,2,1.278486,0
57,0,0.7,0.05,0,0,0.05,0,0.1,0,0,1.587265,1.3111731,0
58,0.25,0.5,0,0,0,0.125,0,0.125,0.5,0.33333334,2,1.4166666,0
59,0.125,0.125,0,0,0,0,0,0.125,1,0.14285715,0,0.10375938,0
60,0,0.71428573,0.14285715,0,0,0,0,0.14285715,0,0,1.6554588,1.5107387,0
61,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
62,0.5,0.5,0,0,0,0,0,0,1,1,0,0,0
63,0,0,0,0,0,0,0,1,0,0,0,0,0
64,0,0.6666667,0,0,0,0,0,0.33333334,0,0,2,1.6666666,0
65,0,1,0,0,0,0,0,0,0,0,2,2,0
66,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
67,0,0.25,0,0,0,0.25,0,0.5,0,0,0,0.15563907,0
68,0,1,0,0,0,0,0,0,0,0,2,2,0
69,0,0,0,0,0,0,0,1,0,0,0,0,0
70,0,1,0,0,0,0,0,0,0,0,2,2,0
71,0,0.6666667,0,0,0,0,0,0.16666667,0,0,2,1.5377157,0
72,0.6666667,0.16666667,0,0,0,0,0,0.16666667,4,2,0,0.8333333,0
73,0.14285715,0.71428573,0.14285715,0,0,0,0,0,0.2,0.16666667,1.5904363,1.3294679,0
74,0,0.6666667,0,0,0,0,0,0.33333334,0,0,1.7420981,1.3597934,0
75,0.25,0,0,0.25,0,0,0,0,0,0.33333334,0,0.5,0
76,1,0,0,0,0,0,0,0,0,0,0,0,0
77,0.14285715,0.5714286,0,0,0,0,0,0,0.25,0.16666667,2,1.326798,0
78,0.071428575,0.85714287,0,0,0,0.071428575,0,0,0.083333336,0.07692308,1.4535094,1.3446549,0
79,0.1,0.5,0.05,0,0,0.05,0,0.05,0.2,0.11111111,1.7966577,1.194507,0
80,0.42857143,0,0,0,0,0.2857143,0,0.2857143,0,0.75,0,0.59290606,0
81,0.16666667,0.16666667,0.16666667,0,0,0,0,0.5,1,0.2,0,0.36009306,0
82,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
83,0,0.71428573,0,0,0,0.14285715,0,0.14285715,0,0,1.8277293,1.5107387,0
84,0.5,0.5,0,0,0,0,0,0,1,1,2,1.5,0
85,0.2,0.8,0,0,0,0,0,0,0.25,0.25,2,1.6,0
86,0,0.4,0,0,0,0.2,0,0,0,0,1,0.81816566,0
87,0,0.5,0.33333334,0.16666667,0,0,0,0,0,0,1.5793802,1.0644754,0
88,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0
89,0,0.33333334,0,0,0,0,0,0.6666667,0,0,0,0.24604683,0
90,0,1,0,0,0,0,0,0,0,0,0,0,0
91,0.25,0.5,0,0,0,0,0,0.25,0.5,0.33333334,1,1,0
92,0.25,0.75,0,0,0,0,0,0,0.33333334,0.33333334,2,1.5,0
93,0.2,0.4,0,0.2,0,0,0,0.2,0.5,0.25,2,1.2,0
94,0,0.33333334,0.33333334,0,0,0,0,0.33333334,0,0,0,0.6666667,0
95,0,0.5,0.25,0,0,0,0.25,0,0,0,2,1.5,0
96,0,0,0,0,0,0,0,1,0,0,0,0,0
97,0.5,0,0,0.25,0,0,0,0.25,0,1,0,1,0
98,0.42857143,0.42857143,0,0,0,0,0,0,1,0.75,1.5793802,1.326798,0
99,0.2857143,0.5714286,0,0,0,0.14285715,0,0,0.5,0.4,1.5,1.3678817,0
100,0,0.33333334,0,0,0,0,0,0.33333334,0,0,0,0.24604683,0
101,0,1,0,0,0,0,0,0,0,0,1.1587603,1.1587603,0
102,0,1,0,0,0,0,0,0,0,0,2,2,0
103,0,1,0,0,0,0,0,0,0,0,0,0,0
104,0.2,0.2,0.4,0,0,0,0,0,1,0.25,0,0.42772937,0
105,0.16666667,0,0,0,0,0,0,0.16666667,0,0.2,0,0.08479633,0
106,0,1,0,0,0,0,0,0,0,0,0,0,0
107,0,1,0,0,0,0,0,0,0,0,2,2,0
108,0.5,0.16666667,0.16666667,0,0,0,0,0,3,1,0,0.8333333,0
109,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0
110,0.16666667,0.6666667,0,0,0,0,0,0.16666667,0.25,0.2,1.75,1.371049,0
